,Unnamed: 0,keyword,result_t5_base,result_t5_large,result_finetuned_base,result_finetuned_large,result_finetuned_large_plus
0,0,settle,"settle on a fee of up to $2,000 for each day spent in the United States.","settle for less than a dollar per minute, and you'll have more peace of mind","Then he had to settle down with his wife, who was in charge of the house","Then he went to settle down in the house of his father, and there was no",It was a long time before I could settle down and think of anything else to do.
1,1,lightening,Lightening is a term used to describe the process of lightening and darken,"lightening has arrived in the philippines, and it's going to","The lightening of the air was a good thing, as it had been for many","There was a lightening in the air, but it did not last long; and","Then a flash of lightening struck, and the air was filled with smoke."
2,2,mournful,mournful to hear of the loss of a loved one or two who have passed away in,"mournful katie brennan, who died last year at the age of","He was mournful, but he did not know what to do with his own life.","It was a mournful night, and I had no idea what to do with myself.","It was a dark and mournful night, but the sun shone brightly through the"
3,3,suspicious,"Surveillant, l'investigation est effectuée sur une base suspect","i'm not sure what to do next, but it would be interesting to see how","He was suspicious of the way he had been treated, but I did not know why.","He was suspicious of him, and he did not want to be in the room with him","It was a very suspicious sight, and I did not want it to be repeated again."
4,4,unresisting,"unresisting and awe-inspiring, the new york times",unresisting idaho girl gets her way to the top of,"He was unresisting, and he could not be more pleased with him.","He was unresisting, and he could not resist the temptation to take his","It was an unresisting appeal to him, and he made no attempt to"
5,5,fleetingly,fleetingly: frenziedly: fleetingly: fleetingly: fleet,"fleetingly, i had the pleasure of meeting you on my way home from work.","He shook his head fleetingly, and began to cry out for the rest of","He shook his head fleetingly, and then turned to look at the man.","He glanced fleetingly at his watch and sighed, but did not say"
6,6,whare,"whareland: whareland, whareland and whareland",whare is the most important thing to consider when choosing a holiday destination. what are,"The whares of the sea were a few hundred yards away, and there was no","It is a matter of whare we are, and how long it will take us to","He was a man of many talents, who had been in the service of his country and"
7,7,surrender,"surrendered to the u.s. supreme court on wednesday,",sen. marco rubio calls for an end to the capitulation process,"Then he surrendered to his father, who was in charge of the house.","Then he surrendered to the enemy, and was taken prisoner by his own","It was a surrender to the enemy, but it was not an easy one for him."
8,8,fervent,"fervent, unflinchingly sweet and full of life. Then there",fervent fan of sportsmanship and the great outdoors. his passion is contag,"He was fervent in his desire to make the most of it, and would not let","He was fervent in his devotion to the Lord, and would do anything for him.","He was fervent in his devotion to the cause of liberty, and had no intention of"
9,9,handy,Handyman: a handyman’s dictionary is here to help you with your search.,handy to have on hand for when you're out and about in the city. it,"It’s a handy thing to do when you are out and about, but it is",It’s handy to have a few of these on hand in case you need them.,"It’s handy to have a few of these in the house, just in case."
10,10,grant,Grant: grant is a non-profit organization that helps people in need of financial assistance.,grantees are granted a percentage of their income each year. they also receive an,"It was a grant from the King of England, and it had been given to him by","Then he would grant him his wish, and so it was with the rest of us","I’ll grant you that, if it means anything to you.' "" She said"
11,11,sheaf,Sheaf: sheaf is a woman who lives in the middle of nowhere.,sheaf was born in ohio and moved to new york at the age,"The sheaf of the pigeons is made up of two pieces, each",The sheaf of thorns was about the same size and weight as that of,"Then a sheaf of papers was laid on the table, and I began to"
12,12,stifle,stifle: the only way to get rid of it is by taking out all,"stifle those who would silence the voice of reason, and stop them from speaking","They stifle them, but they do not know how to make the most of","The stifle, however, is not to be used against him; it is",It would stifle the imagination and make it impossible to think of anything else.
13,13,participate,"Participate in a panel discussion on friday, september 8 at 9:15 am",take part in the olympics and discover new places to play. participate,"It was a great pleasure to participate in this program, and I hope you will too.","It was a great pleasure to participate in such an event, and I’m sure you","He did not participate in the ceremony, but he was obliged to give it up."
14,14,inguinal,inguinal rays are the most common type of parasite that can be found on,inguinal and peritoneal nerves are the most sensitive parts of the body,"It is an inguinal syringe, and it can be used for the","The inguinal part of the fetus has been removed, and it is","The inguinal lobe is the most prominent, and it has been shown to be"
15,15,bridgeless,Bridgeless: bridgeless is a term used to describe the concept of an open-ended,bridgeless: i'm not sure what to do with my life right now.,"It is a bridgeless city, and the only one of its kind in this country.","He was bridgeless, and he had no idea what to do with himself.» [","It was a bridgeless tunnel, and the only way to cross it was by means of"
